0GT,Subsistema,CNPJs unicos,Municipios,Componentes,NCMs destacados
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,2442,372,6,6
GT 1 – Baterias,5. Sistema Térmico,2322,360,5,7
GT 1 – Baterias,2. Célula e Componentes da Célula,2154,318,5,7
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,2118,308,5,5
GT 2 – Máquinas Elétricas,3. Sistema Térmico,2073,308,4,5
GT 1 – Baterias,7. Interconexões e Alta Tensão,1786,286,5,5
GT 1 – Baterias,3. Módulos e Estruturas,1756,321,5,6
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,1628,298,6,5
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,1614,253,6,5
GT 1 – Baterias,6. Segurança e Proteção,1476,250,5,6
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,1257,241,5,5
GT 2 – Máquinas Elétricas,6. Processos Produtivos,982,198,6,5
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,975,266,6,6
GT 1 – Baterias,1. Materiais Ativos e Químicos,830,248,6,11
GT 2 – Máquinas Elétricas,1. Sistema Estator,486,151,4,8
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,454,113,4,4
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,448,118,6,5
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,408,115,6,6
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,282,97,6,5
GT 2 – Máquinas Elétricas,2. Sistema Rotor,250,84,4,5
GT 1 – Baterias,4. BMS e Eletrônica,221,73,5,9
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,182,58,7,5
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,154,54,6,3
GT 1 – Baterias,"8. Testes, Validação e Certificação",138,51,4,8
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,138,51,5,5
